Hyperesthesia,Hyperesthesia is a condition that involves an abnormal increase in sensitivity to stimuli of the sense.
"Edema, Cardiac","Edema, also spelled oedema or œdema, is an abnormal accumulation of fluid in the interstitium, located beneath the skin and in the cavities of the body, which can cause severe pain."
Pruritus,.
Unconsciousness,Unconsciousness is a state which occurs when the ability to maintain an awareness of self and environment is lost.
"Vomiting, Anticipatory","Vomiting, also known as emesis, puking, barfing, throwing up, among other terms, is the involuntary, forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose."
Back Pain,Back pain is pain felt in the back.
"Dyspnea, Paroxysmal",.
"Jaundice, Obstructive","Jaundice, also known as icterus, is a yellowish or greenish pigmentation of the skin and whites of the eyes due to high bilirubin levels."
Vocal Cord Paralysis,"Recurrent laryngeal nerve paralysis is the medical term describing an injury to one or both recurrent laryngeal nerves, which control all muscles of the larynx except for the cricothyroid muscle."
Anisocoria,Anisocoria is a condition characterized by an unequal size of the eyes' pupils.
Amnesia,"Amnesia A deficit in memory caused by brain damage, disease, or psychological trauma."
"Aging, Premature",Ageing The process of becoming older.
Purpura Fulminans,"Purpura fulminans is an acute, often fatal, thrombotic disorder which manifests as blood spots, bruising and discolouration of the skin resulting from coagulation in small blood vessels within the skin and rapidly leads to skin necrosis and disseminated intravascular coagulation."
"Hearing Loss, Unilateral","Hearing loss, also known as hearing impairment, is a partial or total inability to hear."
Jaundice,"Jaundice, also known as icterus, is a yellowish or greenish pigmentation of the skin and whites of the eyes due to high bilirubin levels."
Tinea Pedis,"Athlete's foot, known medically as tinea pedis, is a common skin infection of the feet caused by fungus."
Waterhouse-Friderichsen Syndrome,"Waterhouse–Friderichsen syndrome is defined as adrenal gland failure due to bleeding into the adrenal glands, commonly caused by severe bacterial infection: Typically it is caused by Neisseria meningitidis."
Cheyne-Stokes Respiration,"Cheyne–Stokes respiration is an abnormal pattern of breathing characterized by progressively deeper, and sometimes faster, breathing followed by a gradual decrease that results in a temporary stop in breathing called an apnea."
Susac Syndrome,"Susac's syndrome is a very rare form of microangiopathy characterized by encephalopathy, branch retinal artery occlusions and hearing loss."
Muscle Spasticity,.
Hyperemesis Gravidarum,"Hyperemesis gravidarum is a pregnancy complication that is characterized by severe nausea, vomiting, weight loss, and possibly dehydration."
Psychomotor Disorders,.
"Supranuclear Palsy, Progressive",Progressive supranuclear palsy is a degenerative disease involving the gradual deterioration and death of specific volumes of the brain.
Muscle Hypotonia,.
Fetal Macrosomia,.
Overweight,Being overweight or fat is having more body fat than is optimally healthy.
Orthostatic Intolerance,Orthostatic intolerance is the development of symptoms when standing upright which are relieved when reclining.
Vomiting,"Vomiting, also known as emesis, puking, barfing, throwing up, among other terms, is the involuntary, forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose."
Prosopagnosia,"Prosopagnosia, also called face blindness, is a cognitive disorder of face perception in which the ability to recognize familiar faces, including one's own face, is impaired, while other aspects of visual processing and intellectual functioning remain intact."
Cyanosis,Cyanosis is defined as the bluish or purplish discolouration of the skin or mucous membranes due to the tissues near the skin surface having low oxygen saturation.
Pseudophakia,.
Agnosia,Agnosia is the inability to process sensory information.
Hypesthesia,"Hypoesthesia is a common side effect of various medical conditions which manifests as a reduced sense of touch or sensation, or a partial loss of sensitivity to sensory stimuli."
Virilism,"Virilization or masculinization is the biological development of sex differences, changes that make a male body different from a female body."
Tremor,"Tremor An involuntary, somewhat rhythmic, muscle contraction and relaxation involving oscillations or."
"Diarrhea, Infantile",Diarrhea The condition of having at least three loose or liquid bowel movements each day.
Vertigo,Vertigo A medical condition where a person feels as if they or the objects around them are moving.
Colic,"Baby colic Baby colic, also known as infantile colic, is defined as episodes of crying for more than three."
Ageusia,"Ageusia is the loss of taste functions of the tongue, particularly the inability to detect sweetness, sourness, bitterness, saltiness, and umami."
Dysarthria,Dysarthria is a motor speech disorder resulting from neurological injury of the motor component of the motor-speech system and is characterized by poor articulation of phonemes.
Sweating Sickness,"Sweating sickness, also known as ""English sweating sickness"" or ""English sweate"", was a mysterious and highly contagious disease that struck England, and later continental Europe, in a series of epidemics beginning in 1485."
"Amnesia, Transient Global","Amnesia A deficit in memory caused by brain damage, disease, or psychological trauma."
Abdominal Pain,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues."
Primary Progressive Nonfluent Aphasia,.
Neurologic Manifestations,.
Hemianopsia,"Hemianopsia, or hemianopia, is a decreased vision or blindness in half the visual field, usually on one side of the vertical midline."
Weight Loss,"Weight loss Weight loss, in the context of medicine, health, or physical fitness, refers to a reduction."
"Reflex, Babinski",Reflex An involuntary and nearly instantaneous movement in response to a stimulus.
Hyperkinesis,Hyperkinetic disorder A psychiatric syndrome emerging in early childhood that features an enduring pattern of severe.
Agraphia,"Agraphia is an acquired neurological disorder causing a loss in the ability to communicate through writing, either due to some form of motor dysfunction or an inability to spell."
Dysgeusia,"Dysgeusia, also known as parageusia, is a distortion of the sense of taste."
Hypercapnia,"Hypercapnia, also known as hypercarbia and CO2 retention, is a condition of abnormally elevated carbon dioxide levels in the blood."
Chest Pain,Chest pain is pain in any region of the chest.
Dystonia,Dystonia is a neurological movement disorder syndrome in which sustained or repetitive muscle contractions result in twisting and repetitive movements or abnormal fixed postures.
Obesity,Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have a negative effect on health.
Chills,"Chills is a feeling of coldness occurring during a high fever, but sometimes is also a common symptom which occurs alone in specific people."
Anoxia,"Anoxic waters Areas of sea water, fresh water, or groundwater that are depleted of dissolved oxygen and are a."
