Hyperesthesia,"An abnormal or pathological increase in sensitivity to sensory stimuli, as of the skin to touch or the ear to sound."
"Edema, Cardiac",An excessive accumulation of fluid in body tissue that results in swelling.
Pruritus,"Severe itching, often of undamaged skin."
Unconsciousness,"The division of the mind in psychoanalytic theory containing elements of psychic makeup, such as memories or repressed desires, that are not subject to conscious perception or control but that often affect conscious thoughts and behavior."
"Vomiting, Anticipatory",n. manifestacin de vmitos.excessive___ hipermesis; ___ in pregnancy hipermesis gravitarum.
Back Pain,back arched upwardshumped back posture as in subacute abdominal pain
"Dyspnea, Paroxysmal","Difficulty in breathing, often associated with lung or heart disease and resulting in shortness of breath. Also called  air hunger."
"Jaundice, Obstructive","Yellowish discoloration, as of the skin and whites of the eyes, that is a symptom of diseases like hepatitis that interfere with the normal processing of bile."
Vocal Cord Paralysis,"vokaal    eloquentemente  hlasit gesanglich hjrstet  elocuentemente; ruidosamente vokaalselt   suullisesti  haute voix; oralement   vokalno  lszval; dallamosan, zengn  secara lisan  munnlega; fullum rmi oralmente;     odiu, garsiai  vokli; bals  suara luidruchtigmuntlig, hyrstet, med stemmen  wokalnie   vocalmente  oral, cu voce tare  ;   vrene  vokalno  vokalno  med rsten, hgrstat, vokalt   sesli olarak     to mm, thuc pht m"
Anisocoria,"n. anisocoria, condicin de desigualdad de ambas pupilas;central simple ___ ___ central simple; essential ___ ___ esencial; physiologic ___ ___ fisiolgica"
Amnesia,"Partial or total loss of memory, usually resulting from shock, psychological disturbance, brain injury, or illness."
"Aging, Premature",n. envejecimiento.
Purpura Fulminans,A condition characterized by hemorrhages in the skin and mucous membranes that result in the appearance of purplish spots or patches.
"Hearing Loss, Unilateral",Hearing loss is any degree of impairment of the ability to apprehend sound
Jaundice,"Yellowish discoloration, as of the skin and whites of the eyes, that is a symptom of diseases like hepatitis that interfere with the normal processing of bile."
Tinea Pedis,See  athlete's foot.
Waterhouse-Friderichsen Syndrome,"n. Waterhouse-Friderichsen, sndrome de, hemorragia aguda en las glndulas suprarrenales con hemorragia en la piel asociada a un repentino choque bacteriognico agudo."
Cheyne-Stokes Respiration,"An abnormal type of breathing seen especially in comatose patients, characterized by alternating periods of shallow and deep breathing."
Susac Syndrome,[John O
Muscle Spasticity,A person affected with spastic paralysis.
Hyperemesis Gravidarum,"Severe, intractable vomiting during pregnancy, usually in the first trimester."
Psychomotor Disorders,
"Supranuclear Palsy, Progressive","a slowly progressive, ultimately fatal neurologic disorder with onset after the age of 40 years. Initial symptoms include difficulties in balance with repeated falls, ocular motility disturbances, slurred speech, and dysphasia; later findings include axial dystonia, supranuclear ophthalmoplegia, pseudobulbar palsy, and parkinsonism (but without tremor and with a poor response to l-dopa)."
Muscle Hypotonia,"[-tō′nē·ə] Etymology: Gk, hypo, under, tonos, stretching"
Fetal Macrosomia,The weight of an infant at birth.
Overweight,"Weighing more than is normal, necessary, or allowed, especially having more body weight than is considered normal or healthy for one's age or build. See Synonyms at  fat."
Orthostatic Intolerance,"an abnormal response to standing upright that results from decreased blood pressure and inadequate blood flow to the brain, characterized by a variety of symptoms, including lightheadedness, palpitations, tremulousness, visual disturbances, and syncope"
Vomiting,n. manifestacin de vmitos.excessive___ hipermesis; ___ in pregnancy hipermesis gravitarum.
Prosopagnosia,"A disorder characterized by the inability to recognize people by their faces. In some cases it is present at birth, and in others it is the result of a brain injury. Also called  face blindness."
Cyanosis,A bluish discoloration of the skin and mucous membranes resulting from inadequate oxygenation of the blood.
Pseudophakia,[-fā′kē·ə]
Agnosia,"Loss of the ability to interpret sensory stimuli, such as sounds or images."
Hypesthesia,Variant of  hypoesthesia.
Virilism,The presence of male secondary sexual characteristics in a female.
Tremor,"A shaking or vibrating movement, as from a small earthquake."
"Diarrhea, Infantile",Excessive and frequent evacuation of watery feces.
Vertigo,"Dizziness and lightheadedness, often caused by an infection of the inner ear that damages the organs of balance."
Colic,"Of, relating to, or affecting the colon."
Ageusia,Loss of the sense of taste.
Dysarthria,"Difficulty in articulating words, caused by impairment of the muscles used in speech."
Sweating Sickness,"Etymology: L, milium, millet; L, febris"
"Amnesia, Transient Global","Partial or total loss of memory, usually resulting from shock, psychological disturbance, brain injury, or illness."
Abdominal Pain,"To complain, especially in a whining manner."
Primary Progressive Nonfluent Aphasia,
Neurologic Manifestations,
Hemianopsia,Patient Care
Weight Loss,According to weight rather than volume or other measure.
"Reflex, Babinski","An automatic, involuntary response to a stimulus, as the withdrawal of a body part from a painful stimulus such as burning heat."
Hyperkinesis,"a condition of the body in which muscular movement is abnormally agitated.  — hyperkinetic, adj."
Agraphia,A disorder marked by loss of the ability to write.
Dysgeusia,"[disgo̅o̅′zhə] Etymology: Gk, dys + geusis, taste"
Hypercapnia,the presence of an excessive amount of carbon dioxide in the blood.
Chest Pain,"Etymology: AS, cest, box; L, poena, punishment"
Dystonia,"Abnormal tonicity of muscle, characterized by prolonged, repetitive muscle contractions that may cause twisting or jerking movements of the body or a body part."
Obesity,The condition of being obese; increased body weight caused by excessive accumulation of fat.
Chills,"Relative lack of physical warmth:chilliness, cold, coldness, coolness."
Anoxia,a condition charaeterized by insufficient oxygen in the tissues.
Auditory Perceptual Disorders,Impaired ability to attend to or comprehend auditory information despite normal hearing and intellect; a type of receptive language disorder.
"Syncope, Vasovagal","Pathology.  A temporary loss of consciousness:blackout, faint, swoon."
Sensation Disorders,"sensasiejagend    sensacionalmente  senzan sensationell sensationelt sensacionalmente sensatsiooniliselt   sensaatiomaisesti  d'une manire sensationnelle    osjeajno, senzacionalno  szenzcisan, feltnen  secara sensasional  strkostlega  in maniera sensazionale    sensacingai, puikiai  sensacionli; brnigi  dengan cara yang menimbulkan sensasi sensationeeloppsiktsvekkende, sensasjoneltdoskonale  sensacionalmente  (n mod) senzaional  ;   senzane  senzacionalno  senzacionalno  sensa-tionellt   heyecan uyandrc ekilde   ;    gy ra s xc ng mnh"
Cough,To expel by coughing: coughed up phlegm.
Albuminuria,"The presence of albumin in the urine, sometimes indicating kidney disease."
"Cardiac Output, High",The volume of blood pumped from the right or left ventricle in one minute.
Alien Hand Syndrome,
Neuralgia,"Sharp, severe paroxysmal pain extending along a nerve or group of nerves."
Pelvic Pain,"pain in the pelvis, as occurs in appendicitis, oophoritis, and endometritis"
Muscle Rigidity,The state of being hypertonic.
Decerebrate State,"[-brā′shən] Etymology: L, de, from, cerebrum"
"Ophthalmoplegia, Chronic Progressive External","n. oftalmoplegia, parlisis de un msculo ocular."
Usher Syndromes,"autosomal recessive inheritance with genetic heterogeneity; based on gene cloning and location, six forms of type I cause sensorineural hearing loss, loss of vestibular function, and retinitis pigmentosa; three forms of type II and one form of type III are characterized by hearing loss and retinitis pigmentosa."
"Urinary Bladder, Overactive","An elastic, muscular sac situated in the anterior part of the pelvic cavity in which urine collects before excretion."
Presbycusis,Deafness in elderly people caused by deterioration of tiny hair cells in the cochlea.
Cafe-au-Lait Spots,"Pigmented cutaneous lesions, ranging from light to dark brown; due to excess of melanosomes in the malpighian cells, rather than to an excess of melanocytes; major cutaneous manifestation of neurofibromatosis (von Recklinghausen disease)."
Fetal Hypoxia,an abnormal condition of the body in which oxygen intake or use is inadequate.
Intermittent Claudication,"A condition caused by ischemia of the leg muscles due to arterial obstruction, characterized by attacks of lameness and pain precipitated by walking."
Phantom Limb,Imagined sensations in a limb that has been amputated. These result from nerve ends in the stump which continue to convey misleading messages to the brain.
Toothache,An aching pain in or near a tooth.
Gastroparesis,"A disorder characterized by delayed movement of food from the stomach into the small intestine because of impaired stomach motility, resulting in nausea, vomiting, and a feeling of fullness."
Striae Distensae,"If the skin is stretched too much (for example, during pregnancy or by rapid weight gain), then the dermis may be torn. This can be seen on the skin as lines called stretch marks, or striae – at first red, turning silvery white."
Spasm,"A sudden, involuntary contraction of the muscle lasting a short time."
"Aphasia, Broca","Partial or total loss of the ability to articulate ideas or comprehend spoken or written language, resulting from damage to the brain from injury or disease."
Tonic Pupil,"The apparently black circular opening in the center of the iris of the eye, through which light passes to the retina."
Flushing,"a seaport on Walcheren Island, in the SW Netherlands. 46,055."
Morning Sickness,"Nausea and vomiting upon rising in the morning, especially during early pregnancy."
Paresthesia,"A skin sensation, such as burning, prickling, itching, or tingling, with no apparent physical cause."
Learning Disorders,"Any of various neurodevelopmental disorders that affect the ability to process information and may impede academic learning, especially in the areas of language, mathematics, and reasoning. Also called  learning disorder."
Speech Disorders,"According to the American Speech-Language-Hearing Association (ASHA), a language disorder is an impairment in comprehension use of the spoken, written, or other symbol system"
