"Bites, Human",https://en.wikipedia.org/wiki/Bite_(disambiguation)
Hemorrhagic Septicemia,https://en.wikipedia.org/wiki/Hemorrhagic_septicemia
"Lupus Erythematosus, Systemic",https://en.wikipedia.org/wiki/Lupus_erythematosus
Azotemia,https://en.wikipedia.org/wiki/Azotemia
Enzootic Bovine Leukosis,...
Anisocoria,https://en.wikipedia.org/wiki/Anisocoria
Immune Reconstitution Inflammatory Syndrome,https://en.wikipedia.org/wiki/Immune_reconstitution_inflammatory_syndrome
"Carcinoma, Lewis Lung",https://en.wikipedia.org/wiki/Carcinoma
Jaundice,https://en.wikipedia.org/wiki/Jaundice
"Cystadenocarcinoma, Mucinous",https://en.wikipedia.org/wiki/Cystadenocarcinoma
"Liver Diseases, Parasitic",...
"Schizophrenia, Catatonic",https://en.wikipedia.org/wiki/Schizophrenia_(disambiguation)
"Mixed Tumor, Mullerian",https://en.wikipedia.org/wiki/Mixed_tumor
Cerebral Ventriculitis,...
Pityriasis Rubra Pilaris,https://en.wikipedia.org/wiki/Pityriasis_rubra_pilaris
"Cholecystitis, Acute",https://en.wikipedia.org/wiki/Cholecystitis
Trigeminal Autonomic Cephalalgias,https://en.wikipedia.org/wiki/Trigeminal_autonomic_cephalalgia
Thrombophilia,https://en.wikipedia.org/wiki/Thrombophilia
Smooth Muscle Tumor,https://en.wikipedia.org/wiki/Smooth_muscle_tumour
Pica,https://en.wikipedia.org/wiki/Pica
Neurodermatitis,...
Granuloma Annulare,https://en.wikipedia.org/wiki/Granuloma_annulare
Community-Acquired Infections,...
Pick Disease of the Brain,https://en.wikipedia.org/wiki/Pick's_disease
Iris Neoplasms,...
Cutis Laxa,https://en.wikipedia.org/wiki/Cutis_laxa
Hemoglobin SC Disease,https://en.wikipedia.org/wiki/Hemoglobin_C
Lymphatic Abnormalities,...
Massive Hepatic Necrosis,...
"Epilepsy, Partial, Sensory",https://en.wikipedia.org/wiki/Epilepsy
Choanal Atresia,https://en.wikipedia.org/wiki/Choanal_atresia
Cranial Nerve Neoplasms,https://en.wikipedia.org/wiki/Cranial_nerves
Hemospermia,...
Pneumocephalus,https://en.wikipedia.org/wiki/Pneumocephalus
Drowning,https://en.wikipedia.org/wiki/Drowning_(disambiguation)
Sex Chromosome Aberrations,...
Chordoma,https://en.wikipedia.org/wiki/Chordoma
"Meningitis, Listeria",https://en.wikipedia.org/wiki/Meningitis
Mitral Valve Prolapse,https://en.wikipedia.org/wiki/Mitral_valve_prolapse
"Hernia, Diaphragmatic, Traumatic",https://en.wikipedia.org/wiki/Hernia
